time,roll,pitch,roll_error,pitch_error,roll_vel,pitch_vel,state_vector,control_roll,control_pitch,control_magnitude,raw_control_roll,raw_control_pitch,inertia_roll,inertia_pitch,dt
136.857,0.004782590268595219,-0.004566691006457183,-0.004782590268595219,0.004566691006457183,0.11367867021075576,0.006898183515846723,"-0.004782590268595219,0.11367867021075576,0.004566691006457183,0.006898183515846723",0.002895147413826977,-0.0008408978046993607,0.0030147947966216934,0.0024389992010107543,9.441433211961938e-05,0.00058474,0.00029699,0.017
136.873,0.004782590268595219,-0.004566691006457183,-0.004782590268595219,0.004566691006457183,0.0909429361686046,0.005518546812677379,"-0.004782590268595219,0.0909429361686046,0.004566691006457183,0.005518546812677379",0.0026195700729011694,-0.0005700701994647511,0.0026808818323747915,0.0019765562774076186,6.186087941600422e-05,0.00058474,0.00029699,0.016
136.89,0.004782590268595219,-0.004566691006457183,-0.004782590268595219,0.004566691006457183,0.07275434893488368,0.004414837450141903,"-0.004782590268595219,0.07275434893488368,0.004566691006457183,0.004414837450141903",0.0023156796325883517,-0.00038830370444939216,0.0023480102060412012,0.0016066019385251099,3.581811725311209e-05,0.00058474,0.00029699,0.017
136.909,0.014011324311559102,-0.002336192616259541,-0.014011324311559102,0.002336192616259541,-0.038941089725397095,-0.019947060463019552,"-0.014011324311559102,-0.038941089725397095,0.002336192616259541,-0.019947060463019552",0.0014947885985973066,-0.00042350211129184735,0.0015536238260161796,-0.00042062381404846456,-0.0005056317272575761,0.00058474,0.00029699,0.019
136.923,0.014011324311559102,-0.002336192616259541,-0.014011324311559102,0.002336192616259541,-0.031152871780317677,-0.015957648370415644,"-0.014011324311559102,-0.031152871780317677,0.002336192616259541,-0.015957648370415644",0.0009676883847483655,-0.0004199011404209839,0.0010548638669059356,-0.0002622121142324966,-0.000411498875055636,0.00058474,0.00029699,0.014
136.943,0.014011324311559102,-0.002336192616259541,-0.014011324311559102,0.002336192616259541,-0.024922297424254142,-0.012766118696332516,"-0.014011324311559102,-0.024922297424254142,0.002336192616259541,-0.012766118696332516",0.0006367370430099392,-0.00039478857628291394,0.000749194288488995,-0.00013548275437972218,-0.00033619259329408397,0.00058474,0.00029699,0.02
136.957,0.014011324311559102,-0.002336192616259541,-0.014011324311559102,0.002336192616259541,-0.019937837939403315,-0.010212894957066013,"-0.014011324311559102,-0.019937837939403315,0.002336192616259541,-0.010212894957066013",0.0004354861501577066,-0.0003591362737634924,0.0005644705927786732,-3.409926649750272e-05,-0.0002759475678848423,0.00058474,0.00029699,0.014
136.978,0.020424812800588017,0.0037725912284485674,-0.020424812800588017,-0.0037725912284485674,-0.07703111310417898,-0.06634920972477765,"-0.020424812800588017,-0.07703111310417898,-0.0037725912284485674,-0.06634920972477765",-2.7654877909702186e-06,-0.0007041214921346894,0.000704126922939823,-0.0010253526430045493,-0.0015090870016674824,0.00058474,0.00029699,0.021
136.99,0.020424812800588017,0.0037725912284485674,-0.020424812800588017,-0.0037725912284485674,-0.06162489048334319,-0.05307936777982212,"-0.020424812800588017,-0.06162489048334319,-0.0037725912284485674,-0.05307936777982212",-9.705884523682242e-05,-0.0008233089194350935,0.000829010250998193,-0.0003170766792771442,-0.0011014129164693698,0.00058474,0.00029699,0.012
137.007,0.020424812800588017,0.0037725912284485674,-0.020424812800588017,-0.0037725912284485674,-0.049299912386674555,-0.0424634942238577,"-0.020424812800588017,-0.049299912386674555,-0.0037725912284485674,-0.0424634942238577",-0.00020633189552203527,-0.0008599625041589105,0.0008843689047388427,-0.00046130234618753195,-0.00094548753518115,0.00058474,0.00029699,0.017
137.026,0.020424812800588017,0.0037725912284485674,-0.020424812800588017,-0.0037725912284485674,-0.039439929909339644,-0.03397079537908616,"-0.020424812800588017,-0.039439929909339644,-0.0037725912284485674,-0.03397079537908616",-0.00022265766572786906,-0.0008255027370403735,0.0008550036286288682,-0.00026075112954148126,-0.0007450966137637875,0.00058474,0.00029699,0.019
137.04,0.007081838932846866,-0.0034480760023658124,-0.007081838932846866,0.0034480760023658124,0.15906196846883044,0.07597575270836507,"-0.007081838932846866,0.15906196846883044,0.0034480760023658124,0.07597575270836507",0.0008710527911511951,-5.5525219814652e-05,0.0008728207232918757,0.003423043857202345,0.0017410889870453647,0.00058474,0.00029699,0.014
137.057,0.007081838932846866,-0.0034480760023658124,-0.007081838932846866,0.0034480760023658124,0.12724957477506435,0.06078060216669206,"-0.007081838932846866,0.12724957477506435,0.0034480760023658124,0.06078060216669206",0.0014425316850654702,0.00037589711379951087,0.0014907032912624253,0.0027759824375321123,0.001382549225565891,0.00058474,0.00029699,0.017
137.079,0.007081838932846866,-0.0034480760023658124,-0.007081838932846866,0.0034480760023658124,0.10179965982005149,0.04862448173335365,"-0.007081838932846866,0.10179965982005149,0.0034480760023658124,0.04862448173335365",0.001687272170084607,0.000591843204574351,0.001788062010877379,0.0022583333017959267,0.0010957174163823116,0.00058474,0.00029699,0.022
137.09,0.007081838932846866,-0.0034480760023658124,-0.007081838932846866,0.0034480760023658124,0.0814397278560412,0.03889958538668292,"-0.007081838932846866,0.0814397278560412,0.0034480760023658124,0.03889958538668292",0.0016831841496370078,0.0006452007995696276,0.0018026072654226555,0.0016736454352592762,0.0007697018545586064,0.00058474,0.00029699,0.011
137.107,0.0024366036210021246,-0.004101108369074142,-0.0024366036210021246,0.004101108369074142,0.11980160948300639,0.038802402035326686,"-0.0024366036210021246,0.11980160948300639,0.004101108369074142,0.038802402035326686",0.001928633332019789,0.000707895897728251,0.0020544447258074965,0.0025013480909129456,0.0008541844600983722,0.00058474,0.00029699,0.017
137.123,0.0024366036210021246,-0.004101108369074142,-0.0024366036210021246,0.004101108369074142,0.09584128758640512,0.03104192162826135,"-0.0024366036210021246,0.09584128758640512,0.004101108369074142,0.03104192162826135",0.0019542424783302818,0.0006968483454547448,0.0020747677654796687,0.002013997153054765,0.0006710707234832307,0.00058474,0.00029699,0.016
137.142,0.0024366036210021246,-0.004101108369074142,-0.0024366036210021246,0.004101108369074142,0.0766730300691241,0.02483353730260908,"-0.0024366036210021246,0.0766730300691241,0.004101108369074142,0.02483353730260908",0.0018552046556616633,0.0006451677620756566,0.001964185774210378,0.0016241164027682208,0.0005245797341911175,0.00058474,0.00029699,0.019
137.157,0.0024366036210021246,-0.004101108369074142,-0.0024366036210021246,0.004101108369074142,0.06133842405529928,0.019866829842087264,"-0.0024366036210021246,0.06133842405529928,0.004101108369074142,0.019866829842087264",0.0016923067997248599,0.0005738335162801876,0.0017869491343632255,0.0013122118025389853,0.0004073869427574269,0.00058474,0.00029699,0.015
137.173,0.0024366036210021246,-0.004101108369074142,-0.0024366036210021246,0.004101108369074142,0.04907073924423943,0.01589346387366981,"-0.0024366036210021246,0.04907073924423943,0.004101108369074142,0.01589346387366981",0.0015034211965140808,0.0004957732742792736,0.0015830560424752568,0.0010626881223555972,0.0003136327096104743,0.00058474,0.00029699,0.016
137.19,0.006083409492872991,1.7811214720234166e-05,-0.006083409492872991,-1.7811214720234166e-05,-0.003647007097206882,-0.03574310635746858,"-0.006083409492872991,-0.003647007097206882,-1.7811214720234166e-05,-0.03574310635746858",0.0010785215283900078,9.410650462824706e-05,0.0010826193797517504,8.708896943383806e-05,-0.0008431159578908149,0.00058474,0.00029699,0.017
137.207,0.006083409492872991,1.7811214720234166e-05,-0.006083409492872991,-1.7811214720234166e-05,-0.002917605677765506,-0.028594485085974865,"-0.006083409492872991,-0.002917605677765506,-1.7811214720234166e-05,-0.028594485085974865",0.000785542549812425,-0.00013645728106242896,0.0007973065201795085,0.00010192493313139866,-0.0006744394476740064,0.00058474,0.00029699,0.017
